"","MCS.F.1","MCS.F.2","MCS.F.3","MCS.F.4","MCS.M.1","MCS.M.2","MCS.M.3","PR.F.1","PR.F.2","PR.F.4","PR.M.1","PR.M.2","PR.M.3"
"ENSMUSG00000048070_Pirt",5.67270322794059,5.6878858117835,5.49544016347236,5.85613119272778,5.04795669421919,5.34324482675857,5.47608501138888,5.69742968400412,6.03996800634768,5.66297174502702,5.50340084203851,5.58233430643164,5.37105259340391
"ENSMUSG00000050270_Tmem220",2.47005365941588,2.18818981045167,2.35621860383333,2.70037671483854,2.75025922340902,2.55543530539281,2.80371972410957,2.74839828766804,3.02263947453261,2.93201687054516,2.96015840217286,3.01154659962598,2.63403187946511
"ENSMUSG00000020910_Adprm",4.75092398961623,4.67848697683611,4.69134496078373,4.72567776343965,4.78599203555518,4.71816137586082,4.78473674203808,4.84333828128308,4.87071938123245,4.89322855364082,4.82667112141497,4.68994200723754,4.65080136456996
"ENSMUSG00000069844_Sco1",2.85218186214269,3.00265082860177,2.74986673875651,2.79732856951586,2.93212093153857,3.01640389647179,3.03813819859089,2.65046539636285,3.00757081986486,2.96236880442296,2.73904988236578,2.70913760620962,2.71876236610404
"ENSMUSG00000033066_Gas7",2.51786546296801,3.31031098095293,3.28192409779973,3.00740475848086,2.55924160931107,1.30795814190413,2.31302756021489,2.67913109428745,2.90559034120405,2.78881245374058,1.67181821672467,2.77117168417526,2.56825201143439
"ENSMUSG00000033044_Dhrs7c",5.99257059935169,6.25834552688636,5.91297600196834,6.43544215802507,6.28433479444993,6.29093992329284,6.45183542807853,6.17159773556689,6.66824925626612,6.2574332679353,6.37040576641865,6.44529891643273,6.19967473405508
"ENSMUSG00000020905_Usp43",-1.26893660108414,-0.72251054998349,-1.52012568335166,-1.27353181415968,-0.858608182370644,-1.31764351639854,-1.11332646259015,-0.959931580277626,-0.760186297579067,-0.779817019941949,-0.881953096287687,-0.334588253950967,-0.954891539015748
"ENSMUSG00000055134_9130017K11Rik",-2.49531821687468,-1.43110788982451,-1.84793318095703,-1.09912553822839,-2.2946561512701,-2.08796532695478,-2.92453958985546,-2.87754040044369,-1.98468939168752,-1.76622365909309,-2.22195126355516,-1.92915393773064,-1.65175954118359
"ENSMUSG00000020903_Stx8",7.0520050192525,7.09352630012325,6.95896459151601,7.11491481357998,7.12809851806284,7.17379395826733,7.01729069273119,7.26605736621256,7.18264550884881,7.17805880630141,7.25186889577509,7.23346646997052,7.14671377537012
"ENSMUSG00000087242_C78197",-1.84070166606897,-2.45253613529467,-1.97614446017136,-1.83257902341431,-0.828605454828044,-1.53172381492327,-1.68041444679842,-1.62114452289091,-2.24846326311999,-1.02240254656509,-1.02679733451196,-2.34901710645693,-1.01124621251601
"ENSMUSG00000020902_Ntn1",8.36187593530309,8.34820574624135,8.2526626533493,8.32706563807179,8.33259994849632,8.43817475762705,8.4577469922673,8.35128015795551,8.29376567749763,8.72174780295668,8.40160948217386,8.4970804953039,8.3954973538763
"ENSMUSG00000020901_Pik3r5",-0.732973836826392,-0.133216105220703,-0.164952867611381,-0.557638933482337,-1.01876188734238,-1.92755059921259,-1.11332646259015,0.112490316744281,0.0770108150549762,-0.825180209000486,-1.3691071349275,-0.256333887817195,-1.19485968152944
"ENSMUSG00000046207_Pik3r6",0.4671697984619,0.283982498040906,0.521311882705055,0.58812494406733,0.221193138599548,-0.293122912471167,0.00442164795866606,0.481401386859759,0.603350142466398,0.321365143235226,-0.0892286466114651,0.627092347727152,0.607660516658234
"ENSMUSG00000020900_Myh10",5.52578208614731,5.49672264710955,5.7305368335304,5.85215420198987,5.61757712521214,5.63507275531496,5.80318807513634,5.75241841541517,5.64103536561066,5.67879873296967,5.87953415049082,5.98754227523347,5.70749849121833
